cantar ; amarillo ; frío ; libro ; estrella
cama ; café ; felicidad ; leer ; chocolate
calle ; joya ; melón ; zapato ; cuaderno
sonrisa ; hierba ; amistad ; nieve ; pez
hielo ; queso ; rojo ; viento ; gato
noche ; bicicleta ; perro ; puerta ; nariz
pizarra ; papel ; reloj ; alba ; silencio
antiguo ; nuevo ; fuerte ; bailar ; luna
lluvia ; blanco ; teatro ; jardín ; fuego
espuma ; manzana ; isla ; ventana ; lámpara
mapa ; mar ; oscuro ; música ; bosque
fotografía ; caminar ; suave ; dulce ; verde
brillante ; llave ; cocinar ; sol ; neblina
ciudad ; elefante ; escribir ; risa ; fiesta
sueño ; arena ; escalera ; libro ; espejo
arte ; computadora ; guitarra ; flor ; nube
piña ; rosa ; globo ; lago ; pájaro
madera ; pintura ; jugar ; coche ; correr
montaña ; piedra ; azul ; calor ; río
naranja ; viaje ; ratón ; tren ; sombra
